date;calls;weekday;month_day;month_year;reservations_2months_advance;total_reservations;summer_break;christmas_break;special_day
2013-01-01;2429;2;01-01;2013-01;;;0.0;1.0;1.0
2013-01-02;3881;3;01-02;2013-01;;;0.0;1.0;0.0
2013-01-03;3560;4;01-03;2013-01;;;0.0;0.0;0.0
2013-01-04;3155;5;01-04;2013-01;;;0.0;0.0;0.0
2013-01-05;1538;6;01-05;2013-01;;;0.0;0.0;0.0
2013-01-06;1264;7;01-06;2013-01;;;0.0;0.0;0.0
2013-01-07;2947;1;01-07;2013-01;;;0.0;0.0;0.0
2013-01-08;2914;2;01-08;2013-01;;;0.0;0.0;0.0
2013-01-09;3120;3;01-09;2013-01;;;0.0;0.0;0.0
2013-01-10;2456;4;01-10;2013-01;;;0.0;0.0;0.0
2013-01-11;2606;5;01-11;2013-01;;;0.0;0.0;0.0
2013-01-12;2021;6;01-12;2013-01;;;0.0;0.0;0.0
2013-01-13;1060;7;01-13;2013-01;;;0.0;0.0;0.0
2013-01-14;3023;1;01-14;2013-01;;;0.0;0.0;0.0
2013-01-15;3379;2;01-15;2013-01;;;0.0;0.0;0.0
2013-01-16;3417;3;01-16;2013-01;;;0.0;0.0;0.0
2013-01-17;3402;4;01-17;2013-01;;;0.0;0.0;0.0
2013-01-18;3444;5;01-18;2013-01;;;0.0;0.0;0.0
2013-01-19;2195;6;01-19;2013-01;;;0.0;0.0;0.0
2013-01-20;1808;7;01-20;2013-01;;;0.0;0.0;0.0
2013-01-21;3383;1;01-21;2013-01;;;0.0;0.0;0.0
2013-01-22;3165;2;01-22;2013-01;;;0.0;0.0;0.0
2013-01-23;3617;3;01-23;2013-01;;;0.0;0.0;0.0
2013-01-24;3440;4;01-24;2013-01;;;0.0;0.0;0.0
2013-01-25;3150;5;01-25;2013-01;;;0.0;0.0;0.0
2013-01-26;1662;6;01-26;2013-01;;;0.0;0.0;0.0
2013-01-27;1322;7;01-27;2013-01;;;0.0;0.0;0.0
2013-01-28;3679;1;01-28;2013-01;;;0.0;0.0;0.0
2013-01-29;3584;2;01-29;2013-01;;;0.0;0.0;0.0
2013-01-30;3617;3;01-30;2013-01;;;0.0;0.0;0.0
2013-01-31;3028;4;01-31;2013-01;;;0.0;0.0;0.0
2013-02-01;3290;5;02-01;2013-02;;;0.0;0.0;0.0
2013-02-02;2401;6;02-02;2013-02;;;0.0;0.0;0.0
2013-02-03;1233;7;02-03;2013-02;;;0.0;0.0;0.0
2013-02-04;4191;1;02-04;2013-02;;;0.0;0.0;0.0
2013-02-05;3493;2;02-05;2013-02;;;0.0;0.0;0.0
2013-02-06;3411;3;02-06;2013-02;;;0.0;0.0;0.0
2013-02-07;3639;4;02-07;2013-02;;;0.0;0.0;0.0
2013-02-08;3836;5;02-08;2013-02;;;0.0;0.0;0.0
2013-02-09;2934;6;02-09;2013-02;;;0.0;0.0;0.0
2013-02-10;2052;7;02-10;2013-02;;;0.0;0.0;0.0
2013-02-11;4236;1;02-11;2013-02;;;0.0;0.0;0.0
2013-02-12;3731;2;02-12;2013-02;;;0.0;0.0;0.0
2013-02-13;3071;3;02-13;2013-02;;;0.0;0.0;0.0
2013-02-14;3218;4;02-14;2013-02;;;0.0;0.0;0.0
2013-02-15;3200;5;02-15;2013-02;;;0.0;0.0;0.0
2013-02-16;2365;6;02-16;2013-02;;;0.0;0.0;0.0
